SGG_NM,BJDONG_NM,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
은평구,대조동,2.0,20231020,월세,45.96,2000,125,고도하우스,2023,연립다세대
서초구,서초동,8.0,20231020,월세,79.47,45000,130,삼풍아파트,1988,아파트
송파구,석촌동,2.0,20231020,전세,29.1,25000,0,트윈캐슬A동,2014,연립다세대
성북구,길음동,4.0,20231020,전세,84.97,55000,0,길음뉴타운3단지푸르지오,2005,아파트
강동구,성내동,5.0,20231020,월세,72.92,23000,10,성주아트빌,2010,연립다세대
노원구,월계동,1.0,20231020,전세,54.6,18000,0,태광B동(402-55),1989,연립다세대
중랑구,신내동,8.0,20231020,월세,79.17,8000,60,동광오뜨빌,2001,아파트
중랑구,상봉동,8.0,20231020,월세,17.98,4000,19,솔렌시아5,2019,아파트
중랑구,상봉동,5.0,20231020,월세,13.07,1000,48,우영시티,2012,연립다세대
종로구,내수동,18.0,20231020,월세,30.08,1000,79,광화문시대,2004,오피스텔
은평구,불광동,4.0,20231020,전세,84.73,56000,0,북한산힐스테이트1차아파트,2009,아파트
마포구,도화동,3.0,20231020,전세,84.95,62500,0,현대홈타운,2000,아파트
성북구,길음동,15.0,20231020,전세,84.78,60000,0,길음뉴타운9단지(래미안),2010,아파트
성동구,사근동,2.0,20231020,월세,23.78,3000,55,세경빌딩,2016,연립다세대
금천구,시흥동,2.0,20231020,전세,41.24,14500,0,진성빌(243-11),2016,연립다세대
강남구,대치동,10.0,20231020,월세,84.95,60000,147,대치아이파크,2008,아파트
노원구,상계동,5.0,20231020,월세,39.81,5144,10,수락리버시티4단지,2009,아파트
성북구,정릉동,4.0,20231020,전세,84.98,37000,0,정릉2차대주피오레,2008,아파트
강동구,천호동,7.0,20231020,전세,74.25,37400,0,골드하임(101동),2005,아파트
중랑구,신내동,12.0,20231020,월세,39.93,5941,11,신내우디안1단지,2014,아파트
광진구,중곡동,3.0,20231020,월세,29.94,20000,22,진영,2019,연립다세대
광진구,구의동,5.0,20231020,월세,84.76,10000,146,구의강변우성아파트,1992,아파트
은평구,진관동,5.0,20231020,전세,59.8,13391,0,상림마을7단지아이파크(706~708동)BL1-3,2008,아파트
노원구,중계동,3.0,20231020,전세,58.46,30500,0,주공5,1992,아파트
노원구,공릉동,3.0,20231020,월세,33.18,2781,7,공릉아파트,1999,아파트
성동구,성수동2가,6.0,20231020,월세,18.33,3000,60,성수동램킨중흥S클래스오피스텔,2013,오피스텔
용산구,원효로1가,5.0,20231020,전세,28.24,25000,0,용산빌라트,2023,연립다세대
강남구,대치동,6.0,20231020,월세,18.45,15000,35,대치트레비스타 102동,2020,오피스텔
강동구,암사동,16.0,20231020,전세,59.64,36750,0,선사현대아파트,2000,아파트
광진구,광장동,5.0,20231020,전세,59.67,45000,0,현대3,1990,아파트
마포구,도화동,18.0,20231020,월세,25.56,1000,85,나눔빌딩,2015,오피스텔
동작구,상도동,20.0,20231020,월세,85.0,40000,150,상도역롯데캐슬파크엘,2021,아파트
광진구,구의동,5.0,20231020,전세,28.98,28000,0,연세빌,2021,연립다세대
양천구,신월동,5.0,20231020,전세,35.45,12600,0,그린빌리지,2011,연립다세대
마포구,망원동,4.0,20231020,전세,41.22,22000,0,새소망교회,2013,연립다세대
구로구,고척동,4.0,20231020,월세,56.14,4358,10,엘림하우스,2016,연립다세대
구로구,구로동,20.0,20231020,전세,14.58,10000,0,대림역포스큐,2015,아파트
영등포구,영등포동1가,6.0,20231020,월세,29.94,23600,7,아테네,2017,연립다세대
송파구,방이동,6.0,20231020,전세,34.34,36750,0,우신캐스빌,2017,연립다세대
영등포구,여의도동,9.0,20231020,전세,151.74,71400,0,대교,1975,아파트
양천구,신정동,10.0,20231020,월세,59.42,15000,55,신트리1,1999,아파트
송파구,잠실동,22.0,20231020,전세,84.8,110000,0,잠실엘스,2008,아파트
성북구,길음동,19.0,20231020,월세,59.86,15000,80,길음뉴타운4단지(e편한세상),2005,아파트
강동구,성내동,2.0,20231020,월세,29.8,2000,50,써니사이드,2008,연립다세대
노원구,하계동,13.0,20231020,전세,84.77,42000,0,학여울청구,1999,아파트
송파구,석촌동,2.0,20231020,월세,17.42,1000,45,동남,2010,연립다세대
서초구,서초동,2.0,20231020,월세,28.7,5000,58,서초금성타운,2004,연립다세대
송파구,장지동,12.0,20231020,전세,74.82,38587,0,위례포레샤인23단지,2017,아파트
금천구,시흥동,17.0,20231020,전세,59.34,31700,0,관악산벽산타운5,2004,아파트
송파구,장지동,3.0,20231020,전세,59.96,14843,0,송파파인타운11단지,2007,아파트
노원구,하계동,12.0,20231020,전세,32.76,3156,0,학여울청구117동(355),2001,아파트
관악구,봉천동,8.0,20231020,월세,19.76,17000,4,관전 G타워,2019,오피스텔
송파구,장지동,2.0,20231020,전세,59.96,15585,0,송파파인타운11단지,2007,아파트
양천구,신정동,1.0,20231020,전세,59.9,16016,0,이펜하우스1단지,2011,아파트
구로구,구로동,1.0,20231020,전세,36.88,23000,0,구로두산위브,2006,아파트
서초구,우면동,4.0,20231020,월세,59.99,9600,15,서초네이처힐6단지,2013,아파트
동대문구,휘경동,9.0,20231020,전세,17.45,17500,0,이문휘경 지웰에스테이트,2021,오피스텔
서대문구,충정로3가,26.0,20231020,월세,17.66,5310,34,더스타일하우스디센트럴,2020,아파트
송파구,잠실동,2.0,20231020,전세,29.2,22500,0,성원빌라(249-7),2002,연립다세대
관악구,신림동,5.0,20231020,전세,28.47,19500,0,킹스타운,2015,연립다세대
강북구,번동,2.0,20231020,전세,31.47,10000,0,광신주택(148-266),1992,연립다세대
양천구,목동,6.0,20231020,월세,30.42,5000,120,"에비앙하우스(101동,102동,103동)",2016,연립다세대
강남구,압구정동,6.0,20231020,전세,82.23,74000,0,"현대5차(71,72동)",1977,아파트
광진구,화양동,5.0,20231020,전세,16.08,14000,0,광진캠퍼스시티,2017,오피스텔
송파구,신천동,3.0,20231020,전세,155.22,79800,0,장미1,1979,아파트
강동구,고덕동,11.0,20231020,전세,84.05,85000,0,고덕그라시움,2019,아파트
강남구,개포동,2.0,20231020,전세,42.09,28500,0,아주빌라라동,1988,연립다세대
강동구,천호동,3.0,20231020,전세,14.02,18500,0,집앤사스윗사이드아파트,2019,아파트
종로구,행촌동,18.0,20231020,월세,39.06,18443,45,경희궁자이(1단지),2017,아파트
송파구,방이동,2.0,20231020,월세,45.57,18000,75,삼익타운102동,2019,연립다세대
송파구,장지동,5.0,20231020,전세,59.66,32900,0,위례포레샤인23단지,2017,아파트
강서구,화곡동,4.0,20231020,전세,69.92,23000,0,동영빌라(가),2003,연립다세대
용산구,후암동,4.0,20231020,전세,16.52,20000,0,아인하우스3동,2021,연립다세대
광진구,광장동,6.0,20231020,월세,65.63,54000,20,워커힐푸르지오,1987,아파트
관악구,봉천동,13.0,20231020,월세,60.0,13000,145,관악드림(동아),2003,아파트
광진구,화양동,4.0,20231020,전세,20.66,23000,0,비다펠리즈,2021,오피스텔
강동구,둔촌동,4.0,20231020,월세,42.27,2110,49,클래시하우스5차,2022,연립다세대
영등포구,여의도동,23.0,20231020,전세,179.78,180000,0,대우트럼프월드II,2003,아파트
중구,신당동,8.0,20231020,전세,84.96,65000,0,삼성,1999,아파트
용산구,원효로4가,2.0,20231020,전세,140.88,80000,0,한강수,2005,아파트
마포구,아현동,18.0,20231020,전세,59.99,65000,0,공덕자이,2015,아파트
강서구,화곡동,5.0,20231020,전세,64.37,16000,0,신안쉐르빌,2005,연립다세대
금천구,시흥동,2.0,20231020,전세,49.84,15000,0,중앙하이츠빌라,1988,연립다세대
송파구,송파동,6.0,20231020,전세,48.25,50000,0,더헤리움,2019,연립다세대
중랑구,신내동,7.0,20231020,월세,39.76,2000,70,신내11대명,1996,아파트
도봉구,도봉동,16.0,20231020,전세,84.94,35000,0,한신,1995,아파트
마포구,당인동,4.0,20231020,전세,14.87,10000,0,당인쉐르빌,2008,연립다세대
성동구,성수동1가,7.0,20231020,월세,32.39,20000,20,성수동 뉴타운오피스텔,2003,오피스텔
마포구,용강동,4.0,20231020,전세,54.0,27550,0,참좋은빌,2008,연립다세대
영등포구,당산동1가,8.0,20231020,월세,23.81,25400,28,나비드,2023,연립다세대
마포구,도화동,3.0,20231020,전세,29.97,30000,0,아너스리버마포,2023,연립다세대
송파구,송파동,9.0,20231020,전세,158.61,80000,0,한양아파트,1983,아파트
강서구,염창동,2.0,20231020,전세,59.83,45000,0,동아3,1999,아파트
양천구,목동,3.0,20231020,월세,27.79,5000,65,서림그랑빌,2018,연립다세대
은평구,구산동,3.0,20231020,월세,29.85,16000,12,헤렌하우스,2017,연립다세대
강남구,수서동,10.0,20231020,전세,39.6,29700,0,까치마을,1993,아파트
서초구,서초동,2.0,20231020,전세,29.11,30000,0,서초다산빌라,2017,연립다세대
양천구,신정동,4.0,20231020,전세,59.93,13347,0,이펜하우스1단지,2011,아파트
성동구,옥수동,9.0,20231020,월세,68.58,10000,130,극동,1986,아파트
마포구,상암동,8.0,20231020,전세,114.72,29244,0,상암월드컵파크11단지,2010,아파트
양천구,신정동,5.0,20231020,전세,59.93,14681,0,이펜하우스1단지,2011,아파트
서대문구,남가좌동,17.0,20231020,월세,32.76,1333,17,남가좌동현대(임대),1999,아파트
영등포구,신길동,2.0,20231020,전세,27.02,22600,0,어반스테이트,2021,연립다세대
송파구,잠실동,10.0,20231020,전세,59.88,79300,0,트리지움,2007,아파트
성북구,길음동,9.0,20231020,전세,84.96,60000,0,길음뉴타운5단지(래미안),2006,아파트
중랑구,신내동,14.0,20231020,월세,59.6,9636,15,신내 데시앙포레,2013,아파트
송파구,송파동,4.0,20231020,월세,29.59,100,70,해바라기빌라,2020,연립다세대
강남구,도곡동,8.0,20231020,월세,85.0,20000,440,도곡렉슬,2006,아파트
송파구,장지동,7.0,20231020,월세,49.93,7668,12,송파파인타운5단지,2008,아파트
관악구,봉천동,7.0,20231020,전세,105.84,55000,0,현대(관악),1992,아파트
서대문구,현저동,9.0,20231020,전세,59.58,50000,0,독립문극동(200-0),1998,아파트
구로구,오류동,17.0,20231020,전세,84.75,31000,0,삼천리,1998,아파트
노원구,하계동,10.0,20231020,월세,64.62,3000,74,장미(시영6),1989,아파트
동대문구,장안동,11.0,20231020,전세,28.27,22000,0,경일타워,2023,오피스텔
마포구,창전동,8.0,20231020,전세,84.97,57000,0,신촌태영데시앙,2003,아파트
중랑구,망우동,3.0,20231020,전세,24.84,20000,0,조광빌,2022,연립다세대
중구,광희동1가,20.0,20231020,월세,15.51,8510,41,광희동1가166외7필지청년주택신축,2023,아파트
중랑구,신내동,4.0,20231020,월세,59.6,9636,15,신내 데시앙포레,2013,아파트
강동구,둔촌동,8.0,20231020,월세,18.74,3000,60,오앤하우스,2014,연립다세대
송파구,송파동,5.0,20231020,월세,27.33,5000,140,에스아이팰리스 레이크잠실,2021,오피스텔
도봉구,방학동,4.0,20231020,전세,51.29,22000,0,예지팰리스84차,2016,연립다세대
동작구,대방동,2.0,20231020,전세,42.25,34000,0,노블하우스,2016,연립다세대
강남구,개포동,4.0,20231020,전세,29.82,21000,0,아택서원빌딩,2019,연립다세대
강남구,역삼동,16.0,20231020,월세,84.99,80000,200,역삼자이,2016,아파트
강동구,상일동,11.0,20231020,전세,59.94,63000,0,고덕자이,2021,아파트
서초구,반포동,19.0,20231020,전세,84.95,180000,0,아크로리버파크,2016,아파트
양천구,신정동,8.0,20231020,전세,84.51,21229,0,이펜하우스1단지,2011,아파트
강동구,상일동,11.0,20231020,전세,59.94,63000,0,고덕자이,2021,아파트
중랑구,상봉동,17.0,20231020,월세,19.64,20000,15,봄작시티24,2023,아파트
관악구,봉천동,1.0,20231020,전세,84.74,40000,0,현대(관악),1992,아파트
서초구,잠원동,10.0,20231020,월세,84.91,10000,320,동아,2002,아파트
강서구,화곡동,1.0,20231020,전세,59.77,15870,0,선우스위트빌나동,2001,연립다세대
강동구,길동,4.0,20231020,월세,14.47,500,45,현대웰하임(201동),2012,아파트
관악구,봉천동,18.0,20231020,월세,29.71,17000,45,관전G타워,2019,아파트
구로구,개봉동,3.0,20231020,전세,29.81,25000,0,에코그로브빌리지10차201동,2023,연립다세대
영등포구,대림동,5.0,20231020,월세,28.92,100,46,파크에비뉴,2020,연립다세대
강서구,화곡동,12.0,20231020,월세,26.29,20000,5,동양하우징(899-4),2017,아파트
성동구,금호동2가,15.0,20231020,전세,59.98,70000,0,신금호파크자이,2016,아파트
관악구,봉천동,3.0,20231020,월세,15.0,2000,22,햇빛(180-360),2017,연립다세대
강서구,화곡동,5.0,20231020,전세,18.86,5000,0,그린오피스텔,2002,오피스텔
강동구,암사동,3.0,20231020,전세,46.69,20450,0,아이리스빌,2003,연립다세대
동대문구,장안동,9.0,20231020,전세,21.32,19600,0,장안엘리시아,2022,연립다세대
종로구,신영동,3.0,20231020,전세,84.84,32000,0,대아파크빌,1998,아파트
서초구,양재동,3.0,20231020,월세,38.96,100,85,서원빌가동,2021,연립다세대
강북구,수유동,5.0,20231020,전세,29.55,15500,0,풀내음파크빌(558-4),2013,연립다세대
서초구,양재동,3.0,20231020,전세,29.11,27000,0,공간5차,2017,연립다세대
금천구,시흥동,3.0,20231020,월세,50.91,105,34,시흥다경빌,2019,연립다세대
성북구,정릉동,10.0,20231020,월세,59.88,10000,90,정릉풍림아이원,2005,아파트
금천구,시흥동,13.0,20231020,전세,41.34,18500,0,남서울건영2,1989,아파트
양천구,신월동,7.0,20231020,전세,100.8,43000,0,서울가든,1985,아파트
도봉구,창동,5.0,20231020,전세,58.01,24000,0,창동주공3단지(해등마을),1990,아파트
은평구,녹번동,4.0,20231020,월세,39.93,24000,5,더푸름,2020,연립다세대
마포구,상암동,11.0,20231020,전세,84.94,55000,0,상암월드컵파크3단지,2003,아파트
도봉구,창동,2.0,20231020,월세,59.39,19000,30,창동주공3단지(해등마을),1990,아파트
영등포구,당산동3가,15.0,20231020,월세,59.87,5301,27,당산SHVILLE,2005,아파트
