BJDONG_NM,ADDRESS,RA_REGNO,CMP_NM,위도,경도
문정동,서울특별시 송파구 충민로 10,11710-2020-00318,가든툴부자공인중개사사무소,37.4786173172251,127.119106729654
송파동,서울특별시 송파구 오금로32길 14,11710-2023-00034,부동산플러스공인중개사사무소,37.5052537370259,127.117804530879
문정동,서울특별시 송파구 충민로 10,11710-2021-00015,주식회사 가온센트럴부동산중개법인,37.4786173172251,127.119106729654
잠실동,서울특별시 송파구 백제고분로19길 6,11710-2021-00175,잠실고구마부동산중개,37.5053289925336,127.086772134699
잠실동,서울특별시 송파구 삼전로13길 21,11710-2021-00202,나무공인중개사사무소,37.5075828890087,127.087824999629
문정동,서울특별시 송파구 충민로 66,11710-2021-00208,토리안공인중개사사무소,37.4776148442516,127.124961768886
가락동,서울특별시 송파구 송파대로24길 5-19,11710-2021-00239,한별공인중개사사무소,37.4906389260156,127.120616375994
방이동,서울특별시 송파구 오금로11길 14,11710-2021-00213,한라공인중개사사무소,37.5144572160495,127.108893037866
석촌동,서울특별시 송파구 가락로11길 8,11710-2021-00219,아트공인중개사사무소,37.5010541860792,127.104862114003
거여동,서울특별시 송파구 위례송파로 124,11710-2021-00201,위례드림공인중개사사무소,37.4843723736084,127.146627984376
오금동,서울특별시 송파구 양재대로 1158,11710-2021-00254,태평양공인중개사사무소,37.5106573078104,127.127876709334
거여동,서울특별시 송파구 위례송파로 123,11710-2021-00265,JK부동산공인중개사사무소,37.4845655266198,127.147803459446
방이동,서울특별시 송파구 오금로11길 33,11710-2021-00224,MDB공인중개사사무소,37.5156229797611,127.11058961896
문정동,서울특별시 송파구 법원로8길 13,11710-2021-00143,신공인중개사사무소,37.4845525070838,127.122304167596
마천동,서울특별시 송파구 성내천로 277,11710-2021-00280,태주공인중개사사무소,37.4958399303187,127.154619830461
오금동,서울특별시 송파구 동남로29길 8-10,11710-2021-00132,퍼스트공인중개사사무소,37.5058022450145,127.138582568208
잠실동,서울특별시 송파구 올림픽로 145,11710-2021-00133,매경공인중개사사무소,37.5119804600106,127.087041904838
